State,Year,Quarter,District,RegisteredUsers,AppOpens
Tamil Nadu,2022,1,Nagapattinam District,226781,9648543
Tamil Nadu,2022,1,Tirupathur District,317064,12811064
Tamil Nadu,2022,1,Ariyalur District,134075,8238011
Tamil Nadu,2022,1,Chennai District,2388315,10870012
Tamil Nadu,2022,1,The Nilgiris District,173188,9788145
Tamil Nadu,2022,1,Erode District,589462,16683133
Tamil Nadu,2022,1,Karur District,222853,16310834
Tamil Nadu,2022,1,Kallakkurichi District,306623,15612591
Tamil Nadu,2022,1,Viluppuram District,379264,17225194
Tamil Nadu,2022,1,Pudukkottai District,237115,22854053
Tamil Nadu,2022,1,Perambalur District,112667,8040859
Tamil Nadu,2022,1,Coimbatore District,1687096,27741808
Tamil Nadu,2022,1,Virudhunagar District,346363,17177364
Tamil Nadu,2022,1,Dindigul District,440072,27821213
Tamil Nadu,2022,1,Sivaganga District,241188,20384928
Tamil Nadu,2022,1,Tenkasi District,204182,9468909
Tamil Nadu,2022,1,Chengalpattu District,1621177,16221250
Tamil Nadu,2022,1,Kanniyakumari District,370820,5009074
Tamil Nadu,2022,1,Tirunelveli District,338716,13100432
Tamil Nadu,2022,1,Thiruvallur District,1970646,24538065
Tamil Nadu,2022,1,Theni District,245438,12750343
Tamil Nadu,2022,1,Ranipet District,325358,10227642
Tamil Nadu,2022,1,Namakkal District,399282,14545554
Tamil Nadu,2022,1,Vellore District,449961,11694691
Tamil Nadu,2022,1,Thiruvarur District,170694,9618776
Tamil Nadu,2024,1,Tiruchirappalli District,974721,43404476
Tamil Nadu,2024,1,Ramanathapuram District,299529,26660023
Tamil Nadu,2024,1,Krishnagiri District,1103984,50508526
Tamil Nadu,2024,1,Cuddalore District,751246,16554835
Tamil Nadu,2024,1,Kancheepuram District,1636613,14029868
Tamil Nadu,2024,1,Tiruppur District,1450347,50467711
Tamil Nadu,2024,1,Dharmapuri District,580651,37645280
Tamil Nadu,2024,1,Thoothukkudi District,464294,30709976
Tamil Nadu,2024,1,Thanjavur District,631126,20311777
Tamil Nadu,2024,1,Madurai District,1160424,26145469
Tamil Nadu,2024,1,Tiruvannamalai District,700502,98918973
Tamil Nadu,2024,1,Salem District,1286923,33985551
Tamil Nadu,2024,1,Nagapattinam District,321856,18462374
Tamil Nadu,2024,1,Tirupathur District,452310,9811300
Tamil Nadu,2024,1,Ariyalur District,192354,11271709
Tamil Nadu,2024,1,Chennai District,3324538,9728568
Tamil Nadu,2024,1,The Nilgiris District,242760,15370180
Tamil Nadu,2024,1,Erode District,835835,28968385
Tamil Nadu,2024,1,Karur District,317783,33657566
Tamil Nadu,2024,1,Kallakkurichi District,441130,27202550
Tamil Nadu,2024,1,Viluppuram District,541758,29142058
Tamil Nadu,2024,1,Pudukkottai District,337992,50962746
Tamil Nadu,2024,1,Perambalur District,160466,9014825
Tamil Nadu,2024,1,Coimbatore District,2365485,87689053
Tamil Nadu,2024,1,Virudhunagar District,494396,30148702
Tamil Nadu,2024,1,Dindigul District,625745,51117528
Tamil Nadu,2024,1,Sivaganga District,342882,25748846
Tamil Nadu,2024,1,Tenkasi District,290582,16775801
Tamil Nadu,2024,1,Chengalpattu District,2267245,24840653
Tamil Nadu,2024,1,Kanniyakumari District,523733,17396991
Tamil Nadu,2024,1,Tirunelveli District,478618,25972634
Tamil Nadu,2024,1,Thiruvallur District,2781638,26410658
Tamil Nadu,2024,1,Theni District,349442,18332681
Tamil Nadu,2024,1,Ranipet District,463071,11377621
Tamil Nadu,2024,1,Namakkal District,568047,18901988
Tamil Nadu,2024,1,Vellore District,636873,14017168
Tamil Nadu,2024,1,Thiruvarur District,241851,27400512
Tamil Nadu,2023,1,Tiruchirappalli District,834366,30619756
Tamil Nadu,2023,1,Ramanathapuram District,253860,29573495
Tamil Nadu,2023,1,Krishnagiri District,944553,68436058
Tamil Nadu,2023,1,Cuddalore District,640477,23885306
Tamil Nadu,2023,1,Kancheepuram District,1408216,14091568
Tamil Nadu,2023,1,Tiruppur District,1237941,36812228
Tamil Nadu,2023,1,Dharmapuri District,493000,40417160
Tamil Nadu,2023,1,Thoothukkudi District,395704,28593036
Tamil Nadu,2023,1,Thanjavur District,539170,23071099
Tamil Nadu,2023,1,Madurai District,996514,28725385
Tamil Nadu,2023,1,Tiruvannamalai District,593924,46080245
Tamil Nadu,2023,1,Salem District,1100202,52819330
Tamil Nadu,2023,1,Nagapattinam District,273807,16315418
Tamil Nadu,2023,1,Tirupathur District,386067,18240139
Tamil Nadu,2023,1,Ariyalur District,162294,13803622
Tamil Nadu,2023,1,Chennai District,2885933,7756177
Tamil Nadu,2023,1,The Nilgiris District,208529,19644672
Tamil Nadu,2023,1,Erode District,715174,25457169
Tamil Nadu,2023,1,Karur District,269769,27323949
Tamil Nadu,2023,1,Kallakkurichi District,373516,24458111
Tamil Nadu,2023,1,Viluppuram District,460488,25910140
Tamil Nadu,2023,1,Pudukkottai District,285472,38328599
Tamil Nadu,2023,1,Perambalur District,135997,10620367
Tamil Nadu,2023,1,Coimbatore District,2042019,38823210
Tamil Nadu,2023,1,Virudhunagar District,420518,28477992
Tamil Nadu,2023,1,Dindigul District,533017,46991214
Tamil Nadu,2023,1,Sivaganga District,290846,37288428
Tamil Nadu,2023,1,Tenkasi District,246959,16728608
Tamil Nadu,2023,1,Chengalpattu District,1959401,19777802
Tamil Nadu,2023,1,Kanniyakumari District,449614,8481768
Tamil Nadu,2023,1,Tirunelveli District,409319,20887510
Tamil Nadu,2023,1,Thiruvallur District,2393917,30438886
Tamil Nadu,2023,1,Theni District,298400,22214469
Tamil Nadu,2023,1,Ranipet District,395142,16253806
Tamil Nadu,2023,1,Namakkal District,484476,21702271
Tamil Nadu,2023,1,Vellore District,546340,16049045
Tamil Nadu,2023,1,Thiruvarur District,205722,13963612
Tamil Nadu,2019,1,Tiruchirappalli District,193798,0
Tamil Nadu,2019,1,Ramanathapuram District,49864,0
Tamil Nadu,2019,1,Krishnagiri District,212859,0
Tamil Nadu,2019,1,Cuddalore District,138966,0
Tamil Nadu,2019,1,Kancheepuram District,385091,0
Tamil Nadu,2019,1,Tiruppur District,273869,0
Tamil Nadu,2019,1,Dharmapuri District,111273,0
Tamil Nadu,2019,1,Thoothukkudi District,82778,0
Tamil Nadu,2019,1,Thanjavur District,113549,0
Tamil Nadu,2019,1,Madurai District,224783,0
Tamil Nadu,2019,1,Tiruvannamalai District,129411,0
Tamil Nadu,2019,1,Salem District,257624,0
Tamil Nadu,2019,1,Nagapattinam District,54318,0
Tamil Nadu,2019,1,Tirupathur District,81010,0
Tamil Nadu,2019,1,Ariyalur District,32852,0
Tamil Nadu,2019,1,Chennai District,830586,0
Tamil Nadu,2019,1,The Nilgiris District,41312,0
Tamil Nadu,2019,1,Erode District,157469,0
Tamil Nadu,2019,1,Karur District,58673,0
Tamil Nadu,2019,1,Kallakkurichi District,73253,0
Tamil Nadu,2019,1,Viluppuram District,100564,0
Tamil Nadu,2019,1,Pudukkottai District,55252,0
Tamil Nadu,2019,1,Perambalur District,27434,0
Tamil Nadu,2019,1,Coimbatore District,495350,0
Tamil Nadu,2019,1,Virudhunagar District,87060,0
Tamil Nadu,2019,1,Dindigul District,109937,0
Tamil Nadu,2019,1,Sivaganga District,57822,0
Tamil Nadu,2019,1,Tenkasi District,50065,0
Tamil Nadu,2019,1,Chengalpattu District,578045,0
Tamil Nadu,2019,1,Kanniyakumari District,87667,0
Tamil Nadu,2019,1,Tirunelveli District,85506,0
Tamil Nadu,2019,1,Thiruvallur District,625908,0
Tamil Nadu,2019,1,Theni District,60522,0
Tamil Nadu,2019,1,Ranipet District,93392,0
Tamil Nadu,2019,1,Namakkal District,112549,0
Tamil Nadu,2019,1,Vellore District,126690,0
Tamil Nadu,2019,1,Thiruvarur District,39202,0
Tamil Nadu,2021,1,Tiruchirappalli District,527667,8836445
Tamil Nadu,2021,1,Ramanathapuram District,158933,2470213
Tamil Nadu,2021,1,Krishnagiri District,592655,18257136
Tamil Nadu,2021,1,Cuddalore District,401780,6718405
Tamil Nadu,2021,1,Kancheepuram District,895950,22914978
Tamil Nadu,2021,1,Tiruppur District,772074,15416834
Tamil Nadu,2021,1,Dharmapuri District,306834,7786122
Tamil Nadu,2021,1,Thoothukkudi District,249036,3774093
Tamil Nadu,2021,1,Thanjavur District,340874,5383102
Tamil Nadu,2021,1,Madurai District,630685,10792871
Tamil Nadu,2021,1,Tiruvannamalai District,369304,7105656
Tamil Nadu,2021,1,Salem District,693137,13212180
Tamil Nadu,2021,1,Nagapattinam District,172162,2709896
Tamil Nadu,2021,1,Tirupathur District,242300,5673187
Tamil Nadu,2021,1,Ariyalur District,101107,1628883
Tamil Nadu,2021,1,Chennai District,1865001,44025572
Tamil Nadu,2021,1,The Nilgiris District,132909,2667830
Tamil Nadu,2021,1,Erode District,449675,7891302
Tamil Nadu,2021,1,Karur District,168402,2748286
Tamil Nadu,2021,1,Kallakkurichi District,231208,4214895
Tamil Nadu,2021,1,Viluppuram District,287910,5813660
Tamil Nadu,2021,1,Pudukkottai District,178074,2798190
Tamil Nadu,2021,1,Perambalur District,85113,1379818
Tamil Nadu,2021,1,Coimbatore District,1304141,28188456
Tamil Nadu,2021,1,Virudhunagar District,262406,4141001
Tamil Nadu,2021,1,Dindigul District,334350,6175195
Tamil Nadu,2021,1,Sivaganga District,181917,3022065
Tamil Nadu,2021,1,Tenkasi District,155104,2189726
Tamil Nadu,2021,1,Chengalpattu District,1259678,32721455
Tamil Nadu,2021,1,Kanniyakumari District,284941,4119075
Tamil Nadu,2021,1,Tirunelveli District,258947,3981829
Tamil Nadu,2021,1,Thiruvallur District,1522407,36786664
Tamil Nadu,2021,1,Theni District,187104,3191924
Tamil Nadu,2021,1,Ranipet District,248923,5222726
Tamil Nadu,2021,1,Namakkal District,304004,5067526
Tamil Nadu,2021,1,Vellore District,346428,7829717
Tamil Nadu,2021,1,Thiruvarur District,129468,1944801
Tamil Nadu,2020,1,Tiruchirappalli District,339829,4719933
Tamil Nadu,2020,1,Ramanathapuram District,93243,1175864
Tamil Nadu,2020,1,Krishnagiri District,379857,6993104
Tamil Nadu,2020,1,Cuddalore District,247650,2974425
Tamil Nadu,2020,1,Kancheepuram District,626872,12333880
Tamil Nadu,2020,1,Tiruppur District,488697,7062739
Tamil Nadu,2020,1,Dharmapuri District,194617,3208124
Tamil Nadu,2020,1,Thoothukkudi District,152572,1838344
Tamil Nadu,2020,1,Thanjavur District,208798,2797086
Tamil Nadu,2020,1,Madurai District,402474,5507257
Tamil Nadu,2020,1,Tiruvannamalai District,230261,3220937
Tamil Nadu,2020,1,Salem District,442045,5979694
Tamil Nadu,2020,1,Nagapattinam District,101777,1199502
Tamil Nadu,2020,1,Tirupathur District,148648,2283628
Tamil Nadu,2020,1,Ariyalur District,60040,750655
Tamil Nadu,2020,1,Chennai District,1340762,25098869
Tamil Nadu,2020,1,The Nilgiris District,80235,1121593
Tamil Nadu,2020,1,Erode District,279035,3501764
Tamil Nadu,2020,1,Karur District,102936,1273957
Tamil Nadu,2020,1,Kallakkurichi District,138096,1826308
Tamil Nadu,2020,1,Viluppuram District,181301,2691021
Tamil Nadu,2020,1,Pudukkottai District,103610,1301766
Tamil Nadu,2020,1,Perambalur District,50493,630038
Tamil Nadu,2020,1,Coimbatore District,868832,14620009
Tamil Nadu,2020,1,Virudhunagar District,158388,1996827
Tamil Nadu,2020,1,Dindigul District,204661,2864002
Tamil Nadu,2020,1,Sivaganga District,106993,1359734
Tamil Nadu,2020,1,Tenkasi District,92142,1017754
Tamil Nadu,2020,1,Chengalpattu District,912587,24586991
Tamil Nadu,2020,1,Kanniyakumari District,171611,1981360
Tamil Nadu,2020,1,Tirunelveli District,158258,1860525
Tamil Nadu,2020,1,Thiruvallur District,1041642,18732482
Tamil Nadu,2020,1,Theni District,111186,1398101
Tamil Nadu,2020,1,Ranipet District,160257,2386777
Tamil Nadu,2020,1,Namakkal District,191510,2352284
Tamil Nadu,2020,1,Vellore District,225181,4369641
Tamil Nadu,2020,1,Thiruvarur District,75272,891778
Tamil Nadu,2018,1,Tiruchirappalli District,62230,0
Tamil Nadu,2018,1,Ramanathapuram District,14636,0
Tamil Nadu,2018,1,Krishnagiri District,66958,0
Tamil Nadu,2018,1,Cuddalore District,43486,0
Tamil Nadu,2018,1,Kancheepuram District,136352,0
Tamil Nadu,2018,1,Tiruppur District,87652,0
Tamil Nadu,2018,1,Dharmapuri District,33682,0
Tamil Nadu,2018,1,Thoothukkudi District,25509,0
Tamil Nadu,2018,1,Thanjavur District,36258,0
Tamil Nadu,2018,1,Madurai District,72582,0
Tamil Nadu,2018,1,Tiruvannamalai District,40279,0
Tamil Nadu,2018,1,Salem District,88288,0
Tamil Nadu,2018,1,Nagapattinam District,15626,0
Tamil Nadu,2018,1,Tirupathur District,25242,0
Tamil Nadu,2018,1,Ariyalur District,9211,0
Tamil Nadu,2018,1,Chennai District,292004,0
Tamil Nadu,2018,1,The Nilgiris District,13351,0
Tamil Nadu,2018,1,Erode District,53761,0
Tamil Nadu,2018,1,Karur District,19098,0
Tamil Nadu,2018,1,Kallakkurichi District,20750,0
Tamil Nadu,2018,1,Viluppuram District,31546,0
Tamil Nadu,2018,1,Pudukkottai District,16067,0
Tamil Nadu,2018,1,Perambalur District,8476,0
Tamil Nadu,2018,1,Coimbatore District,170306,0
Tamil Nadu,2018,1,Virudhunagar District,27079,0
Tamil Nadu,2018,1,Dindigul District,34025,0
Tamil Nadu,2018,1,Sivaganga District,16919,0
Tamil Nadu,2018,1,Tenkasi District,15000,0
Tamil Nadu,2018,1,Chengalpattu District,215210,0
Tamil Nadu,2018,1,Kanniyakumari District,28347,0
Tamil Nadu,2018,1,Tirunelveli District,28006,0
Tamil Nadu,2018,1,Thiruvallur District,215622,0
Tamil Nadu,2018,1,Theni District,18253,0
Tamil Nadu,2018,1,Ranipet District,31107,0
Tamil Nadu,2018,1,Namakkal District,38529,0
Tamil Nadu,2018,1,Vellore District,42137,0
Tamil Nadu,2018,1,Thiruvarur District,11170,0
Lakshadweep,2022,1,Lakshadweep District,5990,45410
Lakshadweep,2024,1,Lakshadweep District,8578,645375
Lakshadweep,2023,1,Lakshadweep District,7267,43821
Lakshadweep,2019,1,Lakshadweep District,1416,0
Lakshadweep,2021,1,Lakshadweep District,4577,47283
Lakshadweep,2020,1,Lakshadweep District,2772,21982
Lakshadweep,2018,1,Lakshadweep District,501,0
Telangana,2022,1,Narayanpet District,141328,24536040
Telangana,2022,1,Nalgonda District,681754,78536056
Telangana,2022,1,Jangaon District,230792,33506381
Telangana,2022,1,Bhadradri Kothagudem District,465349,47828778
Telangana,2022,1,Warangal Rural District,259006,20722699
Telangana,2022,1,Kumuram Bheem Asifabad District,128148,23216915
Telangana,2022,1,Nizamabad District,628661,45635773
Telangana,2022,1,Adilabad District,182668,25726396
Telangana,2022,1,Rajanna Sircilla District,223437,20874197
Telangana,2022,1,Nagarkurnool District,324408,60647215
Telangana,2022,1,Peddapalle District,392476,26729462
Telangana,2022,1,Nirmal District,211771,31155753
Telangana,2022,1,Mahabubabad District,257761,26617012
Telangana,2022,1,Sangareddy District,997988,48529759
Telangana,2022,1,Wanaparthy District,183885,21853834
Telangana,2022,1,Vikarabad District,292925,40205178
Telangana,2022,1,Jagtial District,358314,32122010
Telangana,2022,1,Yadadri Bhuvanagiri District,345555,43364083
Telangana,2022,1,Medak District,250764,26785493
Telangana,2022,1,Mahbubnagar District,377199,31979642
Telangana,2022,1,Jaya Shankar Bhalupally District,155585,19712978
Telangana,2022,1,Warangal Urban District,797162,21446613
Telangana,2022,1,Rangareddy District,3722676,79856901
Telangana,2022,1,Hyderabad District,4306136,36924268
Telangana,2022,1,Suryapet District,420703,35742581
Telangana,2022,1,Jogulamba Gadwal District,199570,22596775
Telangana,2022,1,Kamareddy District,314999,34435197
Telangana,2022,1,Mulugu District,94447,24353047
Telangana,2022,1,Medchal Malkajgiri District,3138387,36878958
Telangana,2022,1,Karimnagar District,592752,27194131
Telangana,2022,1,Mancherial District,371749,35198365
Telangana,2022,1,Siddipet District,452034,44351650
Telangana,2022,1,Khammam District,650223,39600384
Telangana,2024,1,Narayanpet District,203622,24082267
Telangana,2024,1,Nalgonda District,975830,44486628
Telangana,2024,1,Jangaon District,330220,26468048
Telangana,2024,1,Bhadradri Kothagudem District,666127,56498282
Telangana,2024,1,Warangal Rural District,372568,12148941
Telangana,2024,1,Kumuram Bheem Asifabad District,185805,27916112
Telangana,2024,1,Nizamabad District,889165,17032547
Telangana,2024,1,Adilabad District,261547,54021182
Telangana,2024,1,Rajanna Sircilla District,317573,8619633
Telangana,2024,1,Nagarkurnool District,465123,30563434
Telangana,2024,1,Peddapalle District,559277,8527114
Telangana,2024,1,Nirmal District,304059,44619530
Telangana,2024,1,Mahabubabad District,371553,18918377
Telangana,2024,1,Sangareddy District,1411306,37400511
Telangana,2024,1,Wanaparthy District,262957,14686092
Telangana,2024,1,Vikarabad District,418255,44607160
Telangana,2024,1,Jagtial District,509834,13001039
Telangana,2024,1,Yadadri Bhuvanagiri District,493078,19280601
Telangana,2024,1,Medak District,359688,20524637
Telangana,2024,1,Mahbubnagar District,534161,21383377
Telangana,2024,1,Jaya Shankar Bhalupally District,224643,10842671
Telangana,2024,1,Warangal Urban District,1117693,15566638
Telangana,2024,1,Rangareddy District,5149421,100682980
Telangana,2024,1,Hyderabad District,5928930,52201608
Telangana,2024,1,Suryapet District,603320,20434991
Telangana,2024,1,Jogulamba Gadwal District,287594,21643542
Telangana,2024,1,Kamareddy District,452089,23007790
Telangana,2024,1,Mulugu District,137092,14961411
Telangana,2024,1,Medchal Malkajgiri District,4352811,46335942
Telangana,2024,1,Karimnagar District,835681,15416205
Telangana,2024,1,Mancherial District,531991,13988613
Telangana,2024,1,Siddipet District,643516,20450839
Telangana,2024,1,Khammam District,925918,33000544
Telangana,2023,1,Narayanpet District,172242,29775037
Telangana,2023,1,Nalgonda District,830827,87778412
Telangana,2023,1,Jangaon District,280580,34755100
Telangana,2023,1,Bhadradri Kothagudem District,567571,61557092
Telangana,2023,1,Warangal Rural District,315944,20175108
Telangana,2023,1,Kumuram Bheem Asifabad District,156343,28022663
Telangana,2023,1,Nizamabad District,761985,48549263
Telangana,2023,1,Adilabad District,222025,34654415
Telangana,2023,1,Rajanna Sircilla District,271074,25603157
Telangana,2023,1,Nagarkurnool District,394485,61891346
Telangana,2023,1,Peddapalle District,478118,26406282
Telangana,2023,1,Nirmal District,257611,42217573
Telangana,2023,1,Mahabubabad District,314702,30185194
Telangana,2023,1,Sangareddy District,1212607,63878054
Telangana,2023,1,Wanaparthy District,223966,24336032
Telangana,2023,1,Vikarabad District,355447,44979668
Telangana,2023,1,Jagtial District,434964,32529442
Telangana,2023,1,Yadadri Bhuvanagiri District,420473,46489173
Telangana,2023,1,Medak District,305395,33658982
Telangana,2023,1,Mahbubnagar District,457781,39744744
Telangana,2023,1,Jaya Shankar Bhalupally District,190125,21663861
Telangana,2023,1,Warangal Urban District,964802,20931489
Telangana,2023,1,Rangareddy District,4483193,92873530
Telangana,2023,1,Hyderabad District,5176899,32078250
Telangana,2023,1,Suryapet District,513436,35148085
Telangana,2023,1,Jogulamba Gadwal District,243224,26336319
Telangana,2023,1,Kamareddy District,383869,37096127
Telangana,2023,1,Mulugu District,115471,26284682
Telangana,2023,1,Medchal Malkajgiri District,3787461,32008875
Telangana,2023,1,Karimnagar District,718193,31218292
Telangana,2023,1,Mancherial District,453837,37525510
Telangana,2023,1,Siddipet District,549109,52595211
Telangana,2023,1,Khammam District,790500,42709479
Telangana,2019,1,Narayanpet District,40074,0
Telangana,2019,1,Nalgonda District,211184,0
Telangana,2019,1,Jangaon District,75697,0
Telangana,2019,1,Bhadradri Kothagudem District,143331,0
Telangana,2019,1,Warangal Rural District,86129,0
Telangana,2019,1,Kumuram Bheem Asifabad District,36654,0
Telangana,2019,1,Nizamabad District,186351,0
Telangana,2019,1,Adilabad District,52692,0
Telangana,2019,1,Rajanna Sircilla District,74849,0
Telangana,2019,1,Nagarkurnool District,93752,0
Telangana,2019,1,Peddapalle District,146982,0
Telangana,2019,1,Nirmal District,62468,0
Telangana,2019,1,Mahabubabad District,80528,0
Telangana,2019,1,Sangareddy District,346529,0
Telangana,2019,1,Wanaparthy District,56006,0
Telangana,2019,1,Vikarabad District,82823,0
Telangana,2019,1,Jagtial District,114424,0
Telangana,2019,1,Yadadri Bhuvanagiri District,112847,0
Telangana,2019,1,Medak District,79145,0
Telangana,2019,1,Mahbubnagar District,117364,0
Telangana,2019,1,Jaya Shankar Bhalupally District,52428,0
Telangana,2019,1,Warangal Urban District,301881,0
Telangana,2019,1,Rangareddy District,1470874,0
Telangana,2019,1,Hyderabad District,1638436,0
Telangana,2019,1,Suryapet District,131272,0
Telangana,2019,1,Jogulamba Gadwal District,57206,0
Telangana,2019,1,Kamareddy District,96369,0
Telangana,2019,1,Mulugu District,27532,0
Telangana,2019,1,Medchal Malkajgiri District,1279531,0
Telangana,2019,1,Karimnagar District,218609,0
Telangana,2019,1,Mancherial District,131128,0
Telangana,2019,1,Siddipet District,152281,0
Telangana,2019,1,Khammam District,206049,0
Telangana,2021,1,Narayanpet District,106583,4879296
Telangana,2021,1,Nalgonda District,517727,27638199
Telangana,2021,1,Jangaon District,175735,10737744
Telangana,2021,1,Bhadradri Kothagudem District,354847,19161712
Telangana,2021,1,Warangal Rural District,197677,11246867
Telangana,2021,1,Kumuram Bheem Asifabad District,96381,4981178
Telangana,2021,1,Nizamabad District,485751,21011313
Telangana,2021,1,Adilabad District,138946,6058994
Telangana,2021,1,Rajanna Sircilla District,172651,7870680
Telangana,2021,1,Nagarkurnool District,245417,14130703
Telangana,2021,1,Peddapalle District,302119,17000004
Telangana,2021,1,Nirmal District,161330,6825009
Telangana,2021,1,Mahabubabad District,195493,10915276
Telangana,2021,1,Sangareddy District,767476,40044462
Telangana,2021,1,Wanaparthy District,140134,7311810
Telangana,2021,1,Vikarabad District,222697,10478282
Telangana,2021,1,Jagtial District,276806,11635474
Telangana,2021,1,Yadadri Bhuvanagiri District,263598,15881813
Telangana,2021,1,Medak District,190586,9500652
Telangana,2021,1,Mahbubnagar District,290086,14780834
Telangana,2021,1,Jaya Shankar Bhalupally District,118229,7311296
Telangana,2021,1,Warangal Urban District,620947,35661562
Telangana,2021,1,Rangareddy District,2906635,164961999
Telangana,2021,1,Hyderabad District,3379663,171306090
Telangana,2021,1,Suryapet District,320013,16329250
Telangana,2021,1,Jogulamba Gadwal District,150765,6985199
Telangana,2021,1,Kamareddy District,240460,11023229
Telangana,2021,1,Mulugu District,71073,4160226
Telangana,2021,1,Medchal Malkajgiri District,2450573,146584671
Telangana,2021,1,Karimnagar District,459407,23293364
Telangana,2021,1,Mancherial District,285446,16741307
Telangana,2021,1,Siddipet District,346000,18464802
Telangana,2021,1,Khammam District,497818,25126745
Telangana,2020,1,Narayanpet District,69951,2186909
Telangana,2020,1,Nalgonda District,351793,11703188
Telangana,2020,1,Jangaon District,122645,4911939
Telangana,2020,1,Bhadradri Kothagudem District,240218,7950598
Telangana,2020,1,Warangal Rural District,138279,5651289
Telangana,2020,1,Kumuram Bheem Asifabad District,62210,1866471
Telangana,2020,1,Nizamabad District,320572,8519695
Telangana,2020,1,Adilabad District,90082,2265159
Telangana,2020,1,Rajanna Sircilla District,119857,3358921
Telangana,2020,1,Nagarkurnool District,165017,6257385
Telangana,2020,1,Peddapalle District,219359,7505646
Telangana,2020,1,Nirmal District,105257,2811442
Telangana,2020,1,Mahabubabad District,133329,4878564
Telangana,2020,1,Sangareddy District,542540,17730360
Telangana,2020,1,Wanaparthy District,95305,3260565
Telangana,2020,1,Vikarabad District,146927,4501087
Telangana,2020,1,Jagtial District,186557,4571872
Telangana,2020,1,Yadadri Bhuvanagiri District,184218,7042753
Telangana,2020,1,Medak District,131276,4325061
Telangana,2020,1,Mahbubnagar District,198442,6473191
Telangana,2020,1,Jaya Shankar Bhalupally District,83741,3416159
Telangana,2020,1,Warangal Urban District,457591,18169055
Telangana,2020,1,Rangareddy District,2166829,92956758
Telangana,2020,1,Hyderabad District,2483843,94202316
Telangana,2020,1,Suryapet District,215377,6397940
Telangana,2020,1,Jogulamba Gadwal District,98743,3023309
Telangana,2020,1,Kamareddy District,162054,4963635
Telangana,2020,1,Mulugu District,47202,1912194
Telangana,2020,1,Medchal Malkajgiri District,1845599,76127707
Telangana,2020,1,Karimnagar District,334300,10431331
Telangana,2020,1,Mancherial District,201832,6523023
Telangana,2020,1,Siddipet District,245168,8153463
Telangana,2020,1,Khammam District,340747,10674831
Telangana,2018,1,Narayanpet District,13945,0
Telangana,2018,1,Nalgonda District,84459,0
Telangana,2018,1,Jangaon District,30373,0
Telangana,2018,1,Bhadradri Kothagudem District,57366,0
Telangana,2018,1,Warangal Rural District,36701,0
Telangana,2018,1,Kumuram Bheem Asifabad District,13448,0
Telangana,2018,1,Nizamabad District,77516,0
Telangana,2018,1,Adilabad District,20180,0
Telangana,2018,1,Rajanna Sircilla District,32891,0
Telangana,2018,1,Nagarkurnool District,32570,0
Telangana,2018,1,Peddapalle District,67418,0
Telangana,2018,1,Nirmal District,25519,0
Telangana,2018,1,Mahabubabad District,32847,0
Telangana,2018,1,Sangareddy District,142807,0
Telangana,2018,1,Wanaparthy District,20785,0
Telangana,2018,1,Vikarabad District,29719,0
Telangana,2018,1,Jagtial District,51382,0
Telangana,2018,1,Yadadri Bhuvanagiri District,45267,0
Telangana,2018,1,Medak District,29694,0
Telangana,2018,1,Mahbubnagar District,45445,0
